
> hospital-dashboard@0.1.0 dev
> next dev --webpack

▲ Next.js 16.1.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://172.22.64.1:3000
- Environments: .env

✓ Starting...
✓ Ready in 19.7s
○ Compiling /login ...
 GET /purchases 500 in 5.8s (compile: 5.0s, proxy.ts: 395ms, render: 368ms)
 PATCH /api/products/3349 200 in 5.3s (compile: 97ms, proxy.ts: 4.9s, render: 306ms)
 GET /purchases 200 in 435ms (compile: 175ms, proxy.ts: 125ms, render: 135ms)
 GET /purchases 200 in 812ms (compile: 31ms, proxy.ts: 266ms, render: 515ms)
 GET /api/purchases 200 in 1434ms (compile: 137ms, proxy.ts: 1282ms, render: 15ms)
 GET /api/suppliers 200 in 1438ms (compile: 59ms, proxy.ts: 1280ms, render: 99ms)
 GET /api/products/aliases 200 in 1443ms (compile: 124ms, proxy.ts: 1281ms, render: 38ms)
 GET /api/auth/session 200 in 1503ms (compile: 207ms, proxy.ts: 1269ms, render: 27ms)
 GET /api/products 200 in 1816ms (compile: 111ms, proxy.ts: 1281ms, render: 425ms)
 GET /api/branches 200 in 2.9s (compile: 1656ms, proxy.ts: 1279ms, render: 9ms)
 GET /api/branches 200 in 82ms (compile: 69ms, proxy.ts: 9ms, render: 5ms)
 GET /purchases 200 in 125ms (compile: 42ms, proxy.ts: 45ms, render: 38ms)
 GET /api/auth/session 200 in 72ms (compile: 38ms, proxy.ts: 9ms, render: 26ms)
 GET /api/auth/session 200 in 73ms (compile: 34ms, proxy.ts: 7ms, render: 32ms)
 GET /api/auth/session 200 in 48ms (compile: 13ms, proxy.ts: 6ms, render: 28ms)
 GET /api/auth/session 200 in 50ms (compile: 15ms, proxy.ts: 10ms, render: 25ms)
 GET /api/auth/session 200 in 45ms (compile: 16ms, proxy.ts: 6ms, render: 24ms)
 GET /api/auth/session 200 in 48ms (compile: 14ms, proxy.ts: 5ms, render: 29ms)
 GET /api/auth/session 200 in 63ms (compile: 15ms, proxy.ts: 9ms, render: 40ms)
 GET /api/auth/session 200 in 42ms (compile: 14ms, proxy.ts: 7ms, render: 21ms)
 GET /api/auth/session 200 in 46ms (compile: 13ms, proxy.ts: 12ms, render: 21ms)
 GET /api/auth/session 200 in 43ms (compile: 11ms, proxy.ts: 7ms, render: 25ms)
 GET /api/auth/session 200 in 50ms (compile: 18ms, proxy.ts: 8ms, render: 24ms)
 POST /api/ocr/process-invoice 200 in 67s (compile: 701ms, proxy.ts: 7ms, render: 67s)
 GET /api/auth/session 200 in 30ms (compile: 12ms, proxy.ts: 5ms, render: 13ms)
 GET /api/auth/session 200 in 53ms (compile: 13ms, proxy.ts: 8ms, render: 31ms)
